type,name,detail,data_type,is_nullable,column_default
POLICY,announcements,Admins can manage announcements,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,announcements,Students can view announcements,SELECT,PERMISSIVE,true
POLICY,app_configs,Admins can manage configs,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,app_configs,Allow anyone to read configs,SELECT,PERMISSIVE,true
POLICY,challenge_participations,Insert own participation,INSERT,PERMISSIVE,null
POLICY,challenge_participations,Update own participation,UPDATE,PERMISSIVE,(auth.uid() = profile_id)
POLICY,challenge_participations,View participations,SELECT,PERMISSIVE,true
POLICY,chapters,Admins can manage chapters,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,chapters,Authenticated users can view chapters,SELECT,PERMISSIVE,true
POLICY,chapters,Content_Manage_Admin,ALL,PERMISSIVE,is_admin()
POLICY,chapters,Content_Read_Secured,SELECT,PERMISSIVE,"(((( SELECT profiles.is_active
   FROM profiles
  WHERE (profiles.id = auth.uid())) = true) AND (( SELECT profiles.subscription_ends_at
   FROM profiles
  WHERE (profiles.id = auth.uid())) > now())) OR is_admin())"
POLICY,exams,Admins can manage exams,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,exams,Authenticated users can view exams,SELECT,PERMISSIVE,true
POLICY,exams,Content_Manage_Admin,ALL,PERMISSIVE,is_admin()
POLICY,exams,Content_Read_Secured,SELECT,PERMISSIVE,"(((( SELECT profiles.is_active
   FROM profiles
  WHERE (profiles.id = auth.uid())) = true) AND (( SELECT profiles.subscription_ends_at
   FROM profiles
  WHERE (profiles.id = auth.uid())) > now())) OR is_admin())"
POLICY,freemium_analytics,Admins can read all analytics,SELECT,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,freemium_analytics,Users can insert their own analytics,INSERT,PERMISSIVE,null
POLICY,freemium_audit_log,Allow admins to read audit log,SELECT,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,freemium_audit_log,Allow system to insert audit logs,INSERT,PERMISSIVE,null
POLICY,freemium_config,Allow admins to manage freemium config,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,freemium_config,Allow authenticated users to read freemium config,SELECT,PERMISSIVE,true
POLICY,freemium_config,Allow service role to manage freemium config,ALL,PERMISSIVE,true
POLICY,lessons,Admins can manage lessons,ALL,PERMISSIVE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))"
POLICY,lessons,Authenticated users can view lessons,SELECT,PERMISSIVE,true
POLICY,lessons,Content_Manage_Admin,ALL,PERMISSIVE,is_admin()
POLICY,lessons,Content_Read_Secured,SELECT,PERMISSIVE,"(((( SELECT profiles.is_active
   FROM profiles
  WHERE (profiles.id = auth.uid())) = true) AND (( SELECT profiles.subscription_ends_at
   FROM profiles
  WHERE (profiles.id = auth.uid())) > now())) OR is_admin())"
POLICY,profiles,Profiles are viewable by everyone,SELECT,PERMISSIVE,true
POLICY,profiles,Profiles_Delete_Admin,DELETE,PERMISSIVE,is_admin()
POLICY,profiles,Profiles_Insert_Own,INSERT,PERMISSIVE,null
POLICY,profiles,Profiles_Select_All,SELECT,PERMISSIVE,true
POLICY,profiles,Profiles_Update_Own_Or_Admin,UPDATE,PERMISSIVE,((auth.uid() = id) OR is_admin())
POLICY,profiles,Users can only update their own non-sensitive info,UPDATE,PERMISSIVE,(auth.uid() = id)
POLICY,profiles,Users can update own profile,UPDATE,PERMISSIVE,(auth.uid() = id)
